ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
0,"White Alone",1,"Hispanic or Latino",2016,"2016",1586,"Onondaga County, NY","05000US36067","onondaga-county-ny",11999,0.02573821198900029
5,"Some Other Race Alone",1,"Hispanic or Latino",2016,"2016",1526,"Onondaga County, NY","05000US36067","onondaga-county-ny",5347,0.011469474081605513
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2016,"2016",97,"Onondaga County, NY","05000US36067","onondaga-county-ny",81,0.00017374740987657498
1,"Black or African American Alone",1,"Hispanic or Latino",2016,"2016",705,"Onondaga County, NY","05000US36067","onondaga-county-ny",2520,0.005405474973937888
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2016,"2016",594,"Onondaga County, NY","05000US36067","onondaga-county-ny",903,0.0019369618656610767
1,"Black or African American Alone",0,"Not Hispanic or Latino",2016,"2016",1748.0000000000002,"Onondaga County, NY","05000US36067","onondaga-county-ny",50261,0.10781134034329057
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2016,"2016",192,"Onondaga County, NY","05000US36067","onondaga-county-ny",0,0
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2015,"2015",678,"Onondaga County, NY","05000US36067","onondaga-county-ny",2997,0.006397516986400207
3,"Asian Alone",0,"Not Hispanic or Latino",2015,"2015",1465,"Onondaga County, NY","05000US36067","onondaga-county-ny",17396,0.03713420270117384
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2015,"2015",1042,"Onondaga County, NY","05000US36067","onondaga-county-ny",1869,0.003989642725252581
1,"Black or African American Alone",1,"Hispanic or Latino",2015,"2015",954,"Onondaga County, NY","05000US36067","onondaga-county-ny",2224,0.004747440032617304
1,"Black or African American Alone",0,"Not Hispanic or Latino",2015,"2015",2500,"Onondaga County, NY","05000US36067","onondaga-county-ny",49626,0.1059336596486809
5,"Some Other Race Alone",1,"Hispanic or Latino",2015,"2015",887,"Onondaga County, NY","05000US36067","onondaga-county-ny",2992,0.0063868437848880275
